run_id,controller_name,target_distance,desired_altitude,current_y,repetition,target_reached,timeout,collision,unsafe_altitude,invalid_ping_failure,runtime_seconds,final_forward_progress,final_forward_error,final_lateral_drift,mean_altitude_error,mean_abs_altitude_error,rmse_altitude_error,max_abs_altitude_error,final_altitude_error,min_altitude,max_altitude,time_inside_altitude_band_percent,time_below_safe_altitude_percent,vertical_command_mean_abs,vertical_command_max_abs,vertical_saturation_percent,notes,stop_reason,output_dir
target_5m_alt_1p5m_current_y_0_rep_01,dvl_p_altitude_hold,5.0,1.5,0.0,1,True,False,False,False,False,21.039321700000002,5.032625198364258,-0.03262519836425781,0.01057820487767458,0.14732319550423684,0.16485222438468208,0.17419477626410068,0.2263122797012329,0.1615086793899536,1.273687720298767,1.6367454528808594,69.30379746835443,0.0,0.0989380605625086,0.13578736782073975,0.0,,target_reached,C:\Users\andrea.bedei3\Desktop\HoloMotion\results\step_03_altitude_hold\20260515_135217\target_5m_alt_1p5m_current_y_0_rep_01
target_5m_alt_1p5m_current_y_0_rep_02,dvl_p_altitude_hold,5.0,1.5,0.0,2,True,False,False,False,False,20.8724859,4.96945858001709,0.030541419982910156,0.00934755988419056,0.14676013194392934,0.16399799674701843,0.17332234623131063,0.21966612339019775,0.16072797775268555,1.2803338766098022,1.6367454528808594,68.10207336523126,0.0,0.09842491869728405,0.13179967403411866,0.0,,target_reached,C:\Users\andrea.bedei3\Desktop\HoloMotion\results\step_03_altitude_hold\20260515_135217\target_5m_alt_1p5m_current_y_0_rep_02
target_5m_alt_1p5m_current_y_0_rep_03,dvl_p_altitude_hold,5.0,1.5,0.0,3,True,False,False,False,False,21.005939399999995,4.989921569824219,0.01007843017578125,0.018734250217676163,0.14610542416005806,0.16328678777214087,0.17244619181525347,0.22548186779022217,0.1638166904449463,1.2745181322097778,1.6367454528808594,71.94928684627575,0.0,0.09799735012508574,0.1352891206741333,0.0,,target_reached,C:\Users\andrea.bedei3\Desktop\HoloMotion\results\step_03_altitude_hold\20260515_135217\target_5m_alt_1p5m_current_y_0_rep_03
target_5m_alt_1p5m_current_y_0p5_rep_01,dvl_p_altitude_hold,5.0,1.5,0.5,1,True,False,False,False,False,21.172857199999996,4.997429847717285,0.0025701522827148438,0.24215508764609694,0.15819627777585443,0.17514781850688863,0.18552668380599102,0.23696672916412354,0.1767808198928833,1.2630332708358765,1.6362433433532715,55.9748427672956,0.0,0.10512545123813659,0.1421800374984741,0.0,,target_reached,C:\Users\andrea.bedei3\Desktop\HoloMotion\results\step_03_altitude_hold\20260515_135217\target_5m_alt_1p5m_current_y_0p5_rep_01
target_5m_alt_1p5m_current_y_0p5_rep_02,dvl_p_altitude_hold,5.0,1.5,0.5,2,True,False,False,False,False,21.1401391,4.964611053466797,0.035388946533203125,0.2738738930784166,0.15852881904662125,0.17473456164983314,0.18474916258645918,0.2366197109222412,0.17790508270263672,1.2633802890777588,1.6362433433532715,58.26771653543307,0.0,0.10487716401036981,0.14197182655334473,0.0,,target_reached,C:\Users\andrea.bedei3\Desktop\HoloMotion\results\step_03_altitude_hold\20260515_135217\target_5m_alt_1p5m_current_y_0p5_rep_02
target_5m_alt_1p5m_current_y_0p5_rep_03,dvl_p_altitude_hold,5.0,1.5,0.5,3,True,False,False,False,False,21.239098000000013,5.038152694702148,-0.03815269470214844,0.23938819533213973,0.15867641166459803,0.17510000403771953,0.1853022236867527,0.23915600776672363,0.17730534076690674,1.2608439922332764,1.6362433433532715,57.210031347962385,0.0,0.10509660210302524,0.14349360466003416,0.0,,target_reached,C:\Users\andrea.bedei3\Desktop\HoloMotion\results\step_03_altitude_hold\20260515_135217\target_5m_alt_1p5m_current_y_0p5_rep_03
target_5m_alt_1p5m_current_y_1_rep_01,dvl_p_altitude_hold,5.0,1.5,1.0,1,True,False,False,False,False,21.805768,5.035271644592285,-0.035271644592285156,0.9451590524986386,0.1873854529766636,0.20162106961694382,0.21350903039136515,0.26728618144989014,0.21947157382965088,1.2327138185501099,1.6347780227661133,29.312977099236644,0.0,0.12103396566635972,0.16037170886993407,0.0,,target_reached,C:\Users\andrea.bedei3\Desktop\HoloMotion\results\step_03_altitude_hold\20260515_135217\target_5m_alt_1p5m_current_y_1_rep_01
target_5m_alt_1p5m_current_y_1_rep_02,dvl_p_altitude_hold,5.0,1.5,1.0,2,True,False,False,False,False,21.6730441,4.997218132019043,0.0027818679809570312,0.9538092957809567,0.18777115517131376,0.202488616131784,0.21450022185385956,0.2683643102645874,0.21909749507904053,1.2316356897354126,1.6347780227661133,29.80030721966206,0.0,0.12155567176525409,0.16101858615875245,0.0,,target_reached,C:\Users\andrea.bedei3\Desktop\HoloMotion\results\step_03_altitude_hold\20260515_135217\target_5m_alt_1p5m_current_y_1_rep_02
target_5m_alt_1p5m_current_y_1_rep_03,dvl_p_altitude_hold,5.0,1.5,1.0,3,True,False,False,False,False,21.739273199999985,5.009105682373047,-0.009105682373046875,0.928338979370892,0.1865944566624453,0.20123946429394288,0.21333201024386117,0.26840031147003174,0.21805119514465332,1.2315996885299683,1.6347780227661133,30.01531393568147,0.0,0.12080483941212754,0.16104018688201904,0.0,,target_reached,C:\Users\andrea.bedei3\Desktop\HoloMotion\results\step_03_altitude_hold\20260515_135217\target_5m_alt_1p5m_current_y_1_rep_03
target_10m_alt_1p5m_current_y_0_rep_01,dvl_p_altitude_hold,10.0,1.5,0.0,1,True,False,False,False,False,41.5129733,9.915714263916016,0.08428573608398438,-0.03364986553788185,0.114774553867634,0.12421354809312529,0.1394480302456123,0.2186518907546997,-0.025517702102661133,1.2813481092453003,1.6367454528808594,85.87479935794543,0.0,0.07452208938368832,0.13119113445281982,0.0,,target_reached,C:\Users\andrea.bedei3\Desktop\HoloMotion\results\step_03_altitude_hold\20260515_135217\target_10m_alt_1p5m_current_y_0_rep_01
